Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,PK,CrdY,CrdR,xG,xAG,Team
Yahia Fofana,ci CIV,GK,24,11,11,990.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Angers
Jordan Lefort,fr FRA,DF,31,11,11,990.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9,Angers
Himad Abdelli,dz ALG,"MF,FW",25,11,11,972.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,Angers
Carlens Arcus,ht HAI,DF,28,11,10,830.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,Angers
Jean-Eudes Aholou,ci CIV,MF,30,10,10,766.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.2,Angers
Florent Hanin,dz ALG,DF,34,10,8,756.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,Angers
Emmanuel Biumla,fr FRA,DF,19,9,8,733.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,Angers
Farid El Melali,dz ALG,FW,27,10,8,703.0,1.0,1.0,2.0,0.0,1.0,0.0,0.9,0.1,Angers
Jim Allevinah,ga GAB,FW,29,8,7,521.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.9,Angers
Haris Belkebla,dz ALG,MF,30,7,6,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Angers
Yassin Belkhdim,fr FRA,MF,22,11,5,472.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Angers
Ibrahima Niane,sn SEN,FW,25,8,5,458.0,2.0,0.0,2.0,1.0,0.0,0.0,0.2,0.2,Angers
Sidiki Cherif,fr FRA,FW,17,5,3,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,Angers
Cédric Hountondji,bj BEN,DF,30,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angers
Abdoulaye Bamba,ci CIV,DF,34,4,3,250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Angers
Jacques Ekomie,ga GAB,DF,21,5,3,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angers
Pierrick Capelle,fr FRA,MF,37,7,2,262.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Angers
